,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
nadia-kassem,,Australia,11/15/1995 (23),"5' 5"", 125 lbs",187,"66""",Southpaw,Australian Top Team,,Women's Flyweight
adam-wieczorek,,Poland,2/5/1992 (27),"6' 5"", 250 lbs",Siwy,"81""",Orthodox,AKS Chorzow,,Heavyweight
wang-guan,,China,3/14/1986 (33),"5' 9"", 145 lbs",The Dongbei Tiger,"71""",Orthodox,American Top Team,,Featherweight
muslim-salikhov,,Russia,6/9/1984 (35),"5' 11"", 170 lbs",King of Kung Fu,"70""",Orthodox,Eagles MMA,,Welterweight
sheymon-moraes,,Brazil,10/11/1990 (29),"5' 8"", 145 lbs",,"72""",Orthodox,Team Nogueira,,Featherweight
song-kenan,,China,3/10/1990 (29),"6' 0"", 170 lbs",The Assassin,"71.5""",Orthodox,Jackson-Wink MMA,,Welterweight
yan-xiaonan,,China,6/16/1989 (30),"5' 5"", 115 lbs",Nine,"63""",Orthodox,China Top Team,,Women's Strawweight
song-yadong,,China,12/2/1997 (21),"5' 8"", 135 lbs",The Terminator,"67""",Orthodox,Team Alpha Male,,Bantamweight
bharat-kandare,,India,6/20/1987 (32),"5' 7"", 145 lbs",Daring,"72""",Orthodox,Superhuman Gym,,Bantamweight
wu-yanan,,China,4/18/1996 (23),"5' 8"", 125 lbs",Mulan,"66""",Orthodox,,,Women's Bantamweight
wuliji-buren,,China,3/1/1989 (30),"5' 9"", 135 lbs",Beast Master,"69""",Orthodox,,,Bantamweight
hu-yaozong,,China,4/7/1995 (24),"6' 3"", 205 lbs",Totoro,"72""",Orthodox,ET MMA,,Light Heavyweight
nicco-montano,,USA,12/16/1988 (30),"5' 5"", 135 lbs",,"65""",Southpaw,Fit NHB,,Women's Flyweight
barb-honchak,,USA,8/30/1979 (40),"5' 4"", 125 lbs",The Little Warrior,"65.5""",,Miletich Martial Arts,,Women's Flyweight
sijara-eubanks,,USA,4/27/1985 (34),"5' 4"", 135 lbs",SarJ,"67""",Orthodox,Team Lloyd Irvin,,Women's Flyweight
deanna-bennett,,USA,11/28/1984 (34),"5' 4"", 125 lbs",,"68""",,The Pit Elevated Fight Team,,Women's Flyweight
melinda-fabian,,Hungary,6/25/1987 (32),"5' 6"", 125 lbs",,"66.5""",,Budapest Top Team,,
christina-marks,,,11/8/1985 (33),"5' 7"", 125 lbs",,"69""",Orthodox,Fight Ugly,,Women's Flyweight
montana-de-la-rosa,,USA,2/14/1995 (24),"5' 7"", 125 lbs",,"68""",Orthodox,Team Takedown,,Women's Flyweight
rachael-ostovich,,USA,2/25/1991 (28),"5' 3"", 125 lbs",,"62""",Orthodox,Jesus is Lord,,Women's Flyweight
karine-gevorgyan,,Armenia,3/9/1989 (30),"5' 4"", 125 lbs",,"63""",,,,Women's Flyweight
ariel-beck,,USA,9/16/1990 (29),"5' 6"", 125 lbs",,"66""",,,,Women's Flyweight
shana-dobson,,USA,3/30/1989 (30),"5' 6"", 125 lbs",Danger,"69""",Orthodox,Team Lloyd Irvin,,Women's Flyweight
emily-whitmire,,USA,5/24/1991 (28),"5' 5"", 115 lbs",Spitfire,"63.5""",,Xtreme Couture,,Women's Strawweight
gillian-robertson,,Canada,5/17/1995 (24),"5' 5"", 125 lbs",The Savage,"63""",Orthodox,American Top Team,,Women's Flyweight
markus-perez,,Brazil,6/22/1990 (29),"6' 1"", 185 lbs",Maluko,"73""",Orthodox,Viscardi Andrade Team,,Middleweight
merab-dvalishvili,,Georgia,1/10/1991 (28),"5' 6"", 135 lbs",,"68""",Orthodox,Serra-Longo Fight Team,,Bantamweight
michal-oleksiejczuk,,Poland,2/22/1995 (24),"6' 0"", 205 lbs",Lord,"74""",Southpaw,Gornik Leczna,,Light Heavyweight
mark-de-la-rosa,,USA,8/31/1994 (25),"5' 6"", 125 lbs",The Bumblebee,"65""",Orthodox,Skrap Pack,,Bantamweight
cory-sandhagen,,USA,4/20/1992 (27),"5' 11"", 135 lbs",,"70""",Switch,Elevation Fight Team,,Bantamweight
priscila-cachoeira,,Brazil,8/19/1988 (31),"5' 7"", 125 lbs",Pedrita,"65""",Orthodox,Parana Vale Tudo,,Women's Flyweight
maia-stevenson,,USA,3/19/1982 (37),"5' 4"", 115 lbs",,"62.5""",Orthodox,Joe Stevenson's Cobra Kai,,Women's Strawweight
polyana-viana,,Brazil,6/14/1992 (27),"5' 5"", 125 lbs",Dama de Ferro,"67""",Orthodox,American Top Team,,Women's Strawweight
israel-adesanya,,Nigeria,7/22/1989 (30),"6' 4"", 185 lbs",The Last Stylebender,"80""",Switch,City Kickboxing,,Middleweight
curtis-millender,,,,,,,,,,
tim-williams,,USA,7/3/1986 (33),"6' 2"", 185 lbs",,"76""",Orthodox,Team Balance,,Middleweight
marcin-prachnio,,Poland,7/14/1988 (31),"6' 3"", 205 lbs",,"74""",Orthodox,Tatsujin Dojo,,Light Heavyweight
manny-bermudez,,USA,7/16/1994 (25),"5' 10"", 145 lbs",The Bermudez Triangle,"71.5""",Orthodox,South Shore Sport,,Bantamweight
yana-kunitskaya,,,,,,,,,,
mackenzie-dern,,USA,3/24/1993 (26),"5' 4"", 115 lbs",,"63""",Orthodox,Black House,,Women's Strawweight
alexander-hernandez,,USA,10/1/1992 (27),"5' 9"", 155 lbs",The Great,"72""",Orthodox,Ohana Academy,,Lightweight
john-phillips,,Wales,6/9/1985 (34),"5' 11"", 185 lbs",The Welsh Wrecking Machine,"75""",Southpaw,SBG Ireland,,Middleweight
hakeem-dawodu,,,,,,,,,,
magomed-ankalaev,,Russia,2/6/1992 (27),"6' 3"", 205 lbs",,"75""",Orthodox,Gorets,,Light Heavyweight
dmitry-sosnovskiy,,,,,,,,,,
ricky-rainey,,USA,6/29/1983 (36),"6' 1"", 170 lbs",The Sniper,"77""",Switch,Renegade Fighting Systems,,Welterweight
dan-moret,,,,,,,,,,
andrea-lee,,USA,2/11/1989 (30),"5' 6"", 125 lbs",KGB,"69.5""",Orthodox,Gladiators Training Academy,,Women's Flyweight
craig-white,,,,,,,,,,
carlo-pedersoli,,USA,6/8/1993 (26),"5' 11"", 170 lbs",Semento,"75""",Southpaw,Gloria Fight Center,,Welterweight
molly-mccann,,,,,,,,,,
chance-rencountre,,USA,12/31/1986 (32),"6' 2"", 170 lbs",Black Eagle,"75""",Southpaw,Alliance MMA,,Welterweight
nathaniel-wood,,England,5/8/1993 (26),"5' 6"", 135 lbs",The Prospect,"69""",Orthodox,Team Titan,,Bantamweight
jose-torres,,USA,8/2/1992 (27),"5' 4"", 125 lbs",Shorty,"65""",Orthodox,Combat-Do,,
megan-anderson,,Australia,2/11/1990 (29),"6' 0"", 145 lbs",,"72""",Orthodox,Glory MMA & Fitness,,Women's Featherweight
dashawn-boatwright,,,,,,,,,,
chris-curtis,,USA,7/15/1987 (32),"5' 10"", 170 lbs",The Action Man,,Orthodox,Xtreme Couture,,
sean-lally,,USA,,,,,Orthodox,,170 lbs,
greg-hardy,,,,,,,,,,
austen-lane,,USA,11/9/1987 (31),"6' 6"", 265 lbs",,,Orthodox,,,
montel-jackson,,USA,4/24/1992 (27),"5' 10"", 135 lbs",Quik,"75.5""",Southpaw,Pura Vida BJJ,,Bantamweight
rico-disciullo,,USA,,"5' 9"", 135 lbs",,,Orthodox,Team Sityodtong,,
kevin-holland,,,,,,,,,,
will-santiago,,USA,,"5' 10"", 170 lbs",,,Orthodox,,,Middleweight
matt-sayles,,USA,2/21/1994 (25),"5' 7"", 145 lbs",Robo,"68.5""",Orthodox,Alliance MMA,,Featherweight
yazan-hajeh,,USA,9/4/1992 (27),"5' 7"", 145 lbs",Yazzle Dazzle,,Orthodox,10th Planet Jiu-Jitsu,,
anthony-hernandez,,,,,,,,,,
jordan-wright,,USA,,"6' 1"", 185 lbs",,,Orthodox,,,
giga-chikadze,,,,,,,,,,
austin-springer,,USA,5/12/1987 (32),"5' 8"", 145 lbs",,,Orthodox,,,
emiliano-sordi,,,,,,,,,,
dwight-grant,,USA,9/14/1984 (35),"6' 1"", 170 lbs",The Body Snatcher,"76""",Switch,AKA (American Kickboxing Academy),,Welterweight
tyler-hill,,,,,,,,,,
petr-yan,,Russia,2/11/1993 (26),"5' 7"", 135 lbs",No Mercy,"67""",Switch,Tiger Muay Thai,,Bantamweight
hector-aldana,,Mexico,8/17/1988 (31),"5' 11"", 170 lbs",El Charro,"72.5""",Orthodox,Torture Athletics,,Welterweight
antonina-shevchenko,,,,,,,,,,
jaimelene-nievera,,,,,,,,,,
austin-tweedy,,,,,,,,,,
te-edwards,,USA,9/11/1990 (29),"5' 8"", 155 lbs",Tango,"72""",Orthodox,MMA LAB,,Lightweight
josh-parisian,,,,,,,,,,
jamall-emmers,,,,,,,,,,
tim-caron,,USA,,"6' 1"", 185 lbs",,,Orthodox,,,
jordan-williams,,USA,10/13/1990 (29),"6' 1"", 185 lbs",,"76.5""",Southpaw,Nor-Cal Fighting Alliance,,
michael-trizano,,USA,12/31/1991 (27),"5' 11"", 145 lbs",The Lone Wolf,"71""",Orthodox,Team Tiger Schulman,,Lightweight
joe-giannetti,,USA,7/5/1995 (24),"6' 0"", 155 lbs",Skeletor,"74.5""",Southpaw,South Shore Sport,,Lightweight
jay-cucciniello,,,,,,,,,,
brad-katona,,Canada,12/19/1991 (27),"5' 6"", 135 lbs",Superman,"64.5""",Orthodox,SBG Ireland,,Bantamweight
richie-smullen,,,,,,,,,,
luis-pena,,Italy,7/5/1993 (26),"6' 3"", 155 lbs",Violent Bob Ross,"75""",Southpaw,AKA (American Kickboxing Academy),,Featherweight
allan-zuniga,,,,,,,,,,
john-gunther,,USA,11/24/1985 (33),"5' 9"", 155 lbs",The Machine,"72""",Orthodox,Fight Farm,,Lightweight
bryce-mitchell,,,,,,,,,,
tyler-diamond,,,,,,,,,,
kevin-aguilar,,USA,9/7/1988 (31),"5' 7"", 145 lbs",The Angel of Death,"73""",Orthodox,Longview MMA,,Featherweight
alton-cunningham,,USA,6/19/1993 (26),"6' 2"", 205 lbs",The Bo-Man,"77""",Orthodox,Pura Vida BJJ,,
toby-misech,,,,,,,,,,
ricky-palacios,,USA,7/5/1987 (32),"5' 6"", 135 lbs",,,Orthodox,,,
rilley-dutro,,USA,9/3/1987 (32),"5' 8"", 125 lbs",,,Orthodox,I & I Training Center,,
jalin-turner,,USA,5/18/1995 (24),"6' 3"", 155 lbs",The Tarantula,"77""",Southpaw,Adrenaline Combat Sports,,Lightweight
max-mustaki,,,,,,,,,,
blagoy-ivanov,,Bulgaria,10/9/1986 (33),"5' 11"", 251 lbs",Baga,"73""",Southpaw,SK Absolute Bulgaria,,Heavyweight
said-nurmagomedov,,,,,,,,,,
raoni-barcelos,,Brazil,5/1/1987 (32),"5' 7"", 135 lbs",,"67""",Orthodox,Rizzo RVT,,Bantamweight
jennifer-maia,,Brazil,10/6/1988 (31),"5' 4"", 125 lbs",,"64""",Orthodox,Chute Boxe,,Women's Flyweight
elias-garcia,,,,,,,,,,
maycee-barber,,,,,,,,,,
vince-morales,,USA,11/12/1990 (28),"5' 7"", 135 lbs",Vandetta,"70""",Orthodox,Xtreme Couture,,Bantamweight
domingo-pilarte,,,,,,,,,,
anthony-adams,,USA,1/13/1990 (29),"6' 1"", 170 lbs",Sugafoot,,Orthodox,Team Wildman Vale Tudo,,
chibwikem-onyenegecha,,,,,,,,,,
austin-vanderford,,USA,3/21/1990 (29),"5' 11"", 185 lbs",The Gentleman,,Orthodox,American Top Team Portland,,Middleweight
angelo-trevino,,USA,,"5' 10"", 170 lbs",Baby Monsta,,Switch,Team Alpha Male,,
edmen-shahbazyan,,,,,,,,,,
antonio-jones,,USA,4/12/1985 (34),"6' 0"", 185 lbs",Doomsday,,Orthodox,,,
abu-azaitar,,,,,,,,,,
david-zawada,,Germany,8/1/1990 (29),"6' 0"", 170 lbs",Sagat,"75""",Orthodox,UFD Gym,,Welterweight
nad-narimani,,England,4/14/1987 (32),"5' 8"", 145 lbs",Smiler,"70""",Orthodox,Iron Mann MMA,,Featherweight
khalid-taha,,Germany,2/15/1992 (27),"5' 5"", 135 lbs",The Warrior,"69""",Orthodox,Arena Dortmund,,Bantamweight
darko-stosic,,Serbia,2/9/1992 (27),"6' 0"", 205 lbs",,"76""",Orthodox,MMA Red Star,,Light Heavyweight
liu-pingyuan,,,,,,,,,,
nick-newell,,USA,3/17/1986 (33),"5' 10"", 155 lbs",,,Southpaw,Fighting Arts Academy,,Catch Weight
alex-munoz,,USA,2/27/1990 (29),"5' 9"", 155 lbs",,,Switch,Team Alpha Male,,
jimmy-crute,,Australia,3/4/1996 (23),"6' 2"", 205 lbs",The Brute,"74""",Orthodox,Greco and Stewie's House,,Light Heavyweight
chris-birchler,,,,,,,,,,
mike-davis,,USA,10/7/1992 (27),"6' 0"", 155 lbs",Beast Boy,"72.5""",Orthodox,Pete White Boxing and MMA,,
sodiq-yusuff,,Nigeria,5/19/1993 (26),"5' 9"", 145 lbs",Super,"71""",Orthodox,Team Lloyd Irvin,,Featherweight
jeff-hughes,,USA,5/17/1988 (31),"6' 2"", 251 lbs",Lights Out,"77""",Orthodox,Strong Style Fight Team,,Heavyweight
josh-appelt,,USA,6/19/1983 (36),"5' 10"", 243 lbs",The Juggernaut,,Southpaw,Team Alpha Male,,
chase-hooper,,USA,9/13/1999 (20),"6' 1"", 145 lbs",,,Southpaw,Combat Sport and Fitness,,
canaan-kawaihae,,USA,8/26/1997 (22),"6' 0"", 145 lbs",,,Southpaw,,,
roosevelt-roberts,,USA,2/11/1994 (25),"6' 2"", 155 lbs",The Predator,"74""",Orthodox,Cortez Martial Arts,,Lightweight
garrett-gross,,USA,8/8/1988 (31),"5' 9"", 155 lbs",,,Orthodox,Sabens Martial Arts,,
mitchell-sipe,,,,,,,,,,
ian-heinisch,,USA,8/5/1988 (31),"5' 11"", 185 lbs",The Hurricane,"72""",Orthodox,FactoryX Muay Thai,,Middleweight
justin-sumter,,,,,,,,,,
maurice-mitchell,,USA,6/29/1987 (32),"5' 9"", 145 lbs",,,Orthodox,Team Alpha Male,,
jordan-griffin,,,,,,,,,,
juan-adams,,USA,1/16/1992 (27),"6' 5"", 265 lbs",The Kraken,"80""",Orthodox,Paradigm Training Center,,Heavyweight
shawn-teed,,USA,2/13/1992 (27),"6' 5"", 250 lbs",,,Orthodox,Ricardo Almeida Jiu-Jitsu,,
zhang-weili,,China,8/13/1989 (30),"5' 4"", 115 lbs",Magnum,"63""",Switch,Black Tiger Fight Club,,Women's Strawweight
tebaris-gordon,,,,,,,,,,
joseph-lowry,,USA,12/12/1989 (29),"5' 10"", 155 lbs",,,Orthodox,,,
devonte-smith,,USA,7/30/1993 (26),"5' 9"", 155 lbs",King Kage,"76""",Orthodox,FactoryX Muay Thai,,Lightweight
dennis-bryant,,USA,,"6' 0"", 205 lbs",,,Orthodox,,,
bobby-moffett,,USA,6/1/1990 (29),"5' 10"", 145 lbs",The Wolfman,"73""",Orthodox,MMA LAB,,Featherweight
jacob-kilburn,,USA,6/28/1995 (24),"5' 9"", 145 lbs",,,Orthodox,,,
marty-coughran,,USA,5/17/1994 (25),"5' 8"", 145 lbs",,,Orthodox,,,
alex-gilpin,,,,,,,,,,
maiara-amanajas-dos-santos,,Brazil,7/11/1987 (32),"5' 5"", 115 lbs",,,Southpaw,,,
sarah-frota,,,,,,,,,,
antonio-arroyo,,Brazil,7/1/1989 (30),"6' 0"", 185 lbs",,"73.5""",Orthodox,,,
diego-henrique-da-silva,,,,,,,,,,
marcos-conrado-jr,,,,,,,,,,
augusto-sakai,,,,,,,,,,
rogerio-bontorin,,Brazil,4/25/1992 (27),"5' 6"", 125 lbs",,"67""",Orthodox,Gile Ribeiro Team / Noguchi Team,,Flyweight
gustavo-gabriel,,,,,,,,,,
mayra-bueno-silva,,Brazil,8/22/1991 (28),"5' 6"", 125 lbs",Sheetara,,Orthodox,Chute Boxe,,Women's Bantamweight
mayana-kellem,,Brazil,7/7/1981 (38),"5' 5"", 135 lbs",,,Orthodox,,,
leonardo-silva-de-oliveira,,Brazil,4/23/1992 (27),"6' 2"", 185 lbs",,,Orthodox,,,
marina-rodriguez,,Brazil,4/29/1987 (32),"5' 6"", 115 lbs",,"65""",Orthodox,,,Women's Strawweight
maria-de-oliveira-neta,,,,,,,,,,
johnny-walker,,Brazil,3/30/1992 (27),"6' 5"", 205 lbs",,"82""",Orthodox,Imperio Fight,,Light Heavyweight
taila-santos,,,,,,,,,,
estefani-almeida,,,,,,,,,,
andre-muniz,,Brazil,2/17/1990 (29),"6' 2"", 185 lbs",Sergipano,"78""",Southpaw,,,
bruno-assis,,Brazil,5/23/1992 (27),"6' 0"", 185 lbs",,,Orthodox,,,
allan-nascimento,,,,,,,,,,
raulian-paiva,,Brazil,10/17/1995 (24),"5' 8"", 125 lbs",,"69.5""",Orthodox,Ronildo Nobre Judo Club,,Flyweight
vinicius-moreira,,Brazil,2/28/1989 (30),"6' 4"", 205 lbs",Mamute,"76""",Orthodox,Five Rounds,,Light Heavyweight
john-allan,,,,,,,,,,
mabelly-lima,,Brazil,1/25/1994 (25),"5' 2"", 125 lbs",,,Orthodox,Master Kombat,,Women's Bantamweight
luana-carolina,,,,,,,,,,
gisele-moreira,,Brazil,1/14/1981 (38),"5' 6"", 135 lbs",,,Orthodox,,,
dayana-silva,,,,,,,,,,
thiago-moises,,Brazil,3/23/1995 (24),"5' 9"", 155 lbs",,"70.5""",Orthodox,American Top Team,,Lightweight
gleidson-cutis,,Brazil,2/7/1989 (30),"5' 9"", 185 lbs",,,Orthodox,,,Lightweight
aleksei-kunchenko,,,,,,,,,,
khalid-murtazaliev,,Russia,7/15/1993 (26),"6' 0"", 185 lbs",,"76""",Orthodox,Krepost,,Middleweight
jin-soo-son,,,,,,,,,,
adam-yandiev,,Russia,7/7/1988 (31),"5' 9"", 185 lbs",Boroda,"74""",Orthodox,,,Middleweight
stefan-sekulic,,Serbia,2/12/1992 (27),"6' 0"", 170 lbs",,"76""",Southpaw,Family Fight Team,,Welterweight
andre-ewell,,,,,,,,,,
luigi-vendramini,,Italy,1/16/1996 (23),"5' 8"", 170 lbs",The Italian Stallion,,Orthodox,,,Welterweight
livinha-souza,,Brazil,3/11/1991 (28),"5' 3"", 115 lbs",The Brazilian Gangsta,"63""",Orthodox,Team Maximo,,Women's Strawweight
jonathan-martinez,,USA,4/20/1994 (25),"5' 8"", 135 lbs",Dragon,"70""",Southpaw,Different Breed MMA,,Bantamweight
chris-fishgold,,England,6/6/1992 (27),"5' 8"", 145 lbs",,"68""",Orthodox,Next Generation UK,,Featherweight
don-madge,,,,,,,,,,
hannah-cifers,,,,,,,,,,
laureano-staropoli,,,,,,,,,,
jesus-pinedo,,Peru,6/22/1996 (23),"5' 9"", 155 lbs",El Mudo,"74""",Southpaw,Pitbull Martial Arts Center,,Lightweight
anderson-dos-santos,,,,,,,,,,
sergei-pavlovich,,Russia,5/13/1992 (27),"6' 3"", 257 lbs",,"84""",Southpaw,,,Heavyweight
su-mudaerji,,China,1/20/1996 (23),"5' 8"", 135 lbs",Sulamu,"72""",Southpaw,Enbo Gedou,,
juan-espino,,Spain,10/9/1980 (39),"6' 4"", 250 lbs",El Guapo,"82""",,American Top Team,,Heavyweight
justin-frazier,,,,,,,,,,
pannie-kianzad,,Sweden,12/8/1991 (27),"5' 7"", 135 lbs",Banzai,"66""",Orthodox,Arte Suave Copenhagen,,Women's Featherweight
macy-chiasson,,USA,7/27/1991 (28),"5' 11"", 135 lbs",,"72""",Orthodox,Fortis MMA,,Women's Bantamweight
julija-stoliarenko,,,,,,,,,,
leah-letson,,USA,8/21/1992 (27),"5' 7"", 135 lbs",Nidas,"71.5""",,Pura Vida BJJ,,Women's Featherweight
chris-gutierrez,,,,,,,,,,
maurice-greene,,USA,7/5/1986 (33),"6' 7"", 265 lbs",The Crochet Boss,"80.5""",Orthodox,The Performance Compound,,Heavyweight
michel-batista,,,,,,,,,,
suman-mokhtarian,,Australia,6/13/1992 (27),"5' 10"", 145 lbs",,"67""",Orthodox,Australian Top Team,,
kai-kara-france,,New Zealand,3/26/1993 (26),"5' 4"", 125 lbs",Don't Blink,"69""",Orthodox,City Kickboxing,,Flyweight
damir-ismagulov,,Russia,2/3/1991 (28),"5' 9"", 155 lbs",,"70""",Orthodox,Boets MMA,,Lightweight
alex-gorgees,,,,,,,,,,
kyle-nelson,,,,,,,,,,
ariane-lipski,,Brazil,1/26/1994 (25),"5' 3"", 125 lbs",Violence Queen,"67""",Orthodox,Rasthai Temple,,Women's Flyweight
mario-bautista,,USA,7/1/1993 (26),"5' 9"", 135 lbs",,"69""",Switch,MMA LAB,,Bantamweight
jairzinho-rozenstruik,,Suriname,3/17/1988 (31),"6' 4"", 246 lbs",Bigi Boy,"78""",Orthodox,Team Bigi Boy,,Heavyweight
geraldo-de-freitas,,Brazil,9/30/1991 (28),"5' 7"", 135 lbs",Espartano,"72.5""",Orthodox,Rio Fighters,,Bantamweight
felipe-colares,,Brazil,3/31/1994 (25),"5' 8"", 135 lbs",Cabocao,"69.5""",Orthodox,Team Nogueira,,Bantamweight
marcos-mariano,,Brazil,9/30/1986 (33),"6' 1"", 155 lbs",Dhalsim,"76""",Switch,Killer Bees,,Lightweight
callan-potter,,,,,,,,,,
klidson-abreu,,Brazil,12/24/1992 (26),"6' 0"", 205 lbs",Urso Branco,"74""",Orthodox,Evolucao Thai,,Light Heavyweight
ismail-naurdiev,,,,,,,,,,
joel-alvarez,,Spain,3/2/1993 (26),"6' 3"", 155 lbs",El Fenomeno,"77""",Orthodox,,,
ben-askren,,,,,,,,,,
nicolae-negumereanu,,Romania,9/4/1994 (25),"6' 0"", 205 lbs",Nick,"78""",Orthodox,CSS Dinamo Bra?ov,,Light Heavyweight
mike-grundy,,,,,,,,,,
ryan-macdonald,,USA,3/18/1993 (26),"5' 11"", 135 lbs",Main Event,"71""",Switch,Disorderly Conduct,,Bantamweight
sabina-mazo,,,,,,,,,,
zelim-imadaev,,Russia,1/25/1995 (24),"6' 0"", 170 lbs",,"76""",Orthodox,,,Welterweight
randy-costa,,,,,,,,,,
arman-tsarukyan,,Russia,10/11/1996 (23),"5' 7"", 155 lbs",,"72.5""",Orthodox,,,Lightweight
alen-amedovski,,Macedonia,4/6/1988 (31),"5' 10"", 185 lbs",,"74""",Orthodox,American Top Team Rome,,Middleweight
movsar-evloev,,Russia,2/11/1994 (25),"5' 7"", 145 lbs",,"72.5""",Orthodox,,,Featherweight
seungwoo-choi,,Korea,11/3/1992 (26),"6' 0"", 145 lbs",Sting,"74.5""",Orthodox,,,Featherweight
alex-da-silva,,,,,,,,,,
rafael-fiziev,,Kyrgyzstan,3/5/1993 (26),"5' 8"", 155 lbs",Ataman,"71.5""",Switch,Phuket Top Team,,Lightweight
thomas-gifford,,USA,7/26/1992 (27),"6' 1"", 155 lbs",The Young Lion,"75.5""",Orthodox,FactoryX Muay Thai,,Lightweight
takashi-sato,,Japan,6/9/1990 (29),"5' 10"", 170 lbs",Ten,"73""",Southpaw,Tribe Tokyo MMA,,Welterweight
virna-jandiroba,,,,,,,,,,
serghei-spivac,,Moldova,1/24/1995 (24),"6' 3"", 233 lbs",The Polar Bear,"78""",Orthodox,,,
marc-andre-barriault,,,,,,,,,,
kyle-prepolec,,,,,,,,,,
cole-smith,,,,,,,,,,
carlos-huachin,,,,,,,,,,
viviane-araujo,,Brazil,11/21/1986 (32),"5' 4"", 125 lbs",Vivi,"68""",Orthodox,Cerrado MMA,,Women's Bantamweight
felicia-spencer,,Canada,11/29/1990 (28),"5' 6"", 145 lbs",FeeNom,"68""",Orthodox,Jungle MMA,,Women's Lightweight
derrick-krantz,,USA,1/13/1988 (31),"5' 10"", 170 lbs",D-Rock,"72""",Orthodox,Team 515,,
austin-hubbard,,USA,12/22/1991 (27),"5' 10"", 155 lbs",Thud,"71""",Orthodox,Elevation Fight Team,,
charles-jourdain,,Canada,11/27/1995 (23),"5' 9"", 145 lbs",Air,"69""",Switch,Academie Pro Star MMA,,Featherweight
michel-pereira,,Brazil,10/6/1993 (26),"6' 1"", 172 lbs",Demolidor,"73""",Orthodox,Scorpion Fighting System,,
sung-bin-jo,,Korea,7/17/1992 (27),"6' 0"", 145 lbs",Korean Falcon,"72""",Orthodox,,,
rostem-akman,,,,,,,,,,
sergey-khandozhko,,Russia,5/19/1992 (27),"6' 1"", 170 lbs",Honda,"74""",Orthodox,,,Welterweight
bea-malecki,,Sweden,8/23/1991 (28),"5' 9"", 135 lbs",Bad News Barbie,"74""",Orthodox,,,
duda-santana,,Brazil,1/10/1996 (23),"5' 7"", 135 lbs",Cowboyzinha,"73""",Orthodox,Tata Fight Team,,Women's Bantamweight
danilo-belluardo,,Italy,7/21/1994 (25),"6' 0"", 155 lbs",Caterpillar,"74.5""",Southpaw,Stabile Fight Team,,
grigorii-popov,,Russia,4/18/1984 (35),"5' 7"", 135 lbs",,"68""",Switch,,,Bantamweight
punahele-soriano,,,,,,,,,,
hannah-goldy,,USA,5/18/1992 (27),"5' 4"", 125 lbs",24K,"61""",Orthodox,,,
kali-robbins,,USA,7/5/1984 (35),"5' 3"", 115 lbs",Pop Tart,"63.5""",Orthodox,,,
bill-algeo,,USA,6/9/1989 (30),"6' 0"", 145 lbs",,"73.5""",Switch,,,
alton-meeks,,USA,,"6' 3"", 262 lbs",,"75.5""",Orthodox,,,
yorgan-de-castro,,,,,,,,,,
deron-winn,,,,,,,,,,
tony-johnson,,,,,,,,,,
zach-zane,,USA,,"5' 10"", 145 lbs",,"69""",Southpaw,Black House,,
justin-gonzales,,USA,4/28/1991 (28),"5' 10"", 145 lbs",,"72""",Orthodox,,,
michael-lombardo,,USA,4/3/1990 (29),"6' 1"", 185 lbs",,"72""",Orthodox,,,
kyle-daukaus,,,,,,,,,,
richie-santiago,,,,,,,,,,
miles-johns,,,,,,,,,,
miguel-baeza,,USA,8/23/1992 (27),"6' 2"", 170 lbs",Caramel Thunder,"74.5""",Orthodox,MMA Masters,,
victor-reyna,,,,,,,,,,
journey-newson,,USA,3/7/1989 (30),"5' 5"", 135 lbs",,"67.5""",Orthodox,,,
dalcha-lungiambula,,South Africa,7/31/1985 (34),"5' 10"", 205 lbs",,"76""",Orthodox,,,Light Heavyweight
dequan-townsend,,USA,5/11/1986 (33),"6' 3"", 205 lbs",The Tarantula,"79""",Orthodox,,,
amanda-ribas,,,,,,,,,,
nohelin-hernandez,,USA,3/1/1994 (25),"5' 10"", 135 lbs",Suave,"71""",Orthodox,AKA (American Kickboxing Academy),,
julia-avila,,,,,,,,,,
jesse-wallace,,USA,11/17/1992 (26),"5' 10"", 155 lbs",Jesse,"69.5""",Orthodox,,,
joseph-solecki,,,,,,,,,,
kenneth-bergh,,,,,,,,,,
antonio-trocoli,,,,,,,,,,
christian-ocon,,USA,2/5/1996 (23),"5' 7"", 135 lbs",,"69""",Orthodox,,,Bantamweight
hunter-azure,,USA,3/2/1992 (27),"5' 8"", 135 lbs",,"69""",Orthodox,,,Bantamweight
maki-pitolo,,,,,,,,,,
jonathan-pearce,,USA,5/1/1992 (27),"6' 0"", 155 lbs",JSP,"71.5""",Switch,MMA LAB,,
jacob-rosales,,,,,,,,,,
wellington-turman,,Brazil,7/22/1996 (23),"6' 0"", 185 lbs",,"72""",Orthodox,,,
brianna-van-buren,,USA,8/4/1993 (26),"5' 0"", 115 lbs",Tha Bull,"62""",Southpaw,AKA (American Kickboxing Academy),,
stephen-regman,,,,,,,,,,
ode-osbourne,,USA,1/9/1992 (27),"5' 7"", 135 lbs",The Jamaican Sensation,"73""",Southpaw,,,
armando-villarreal,,USA,8/8/1989 (30),"5' 7"", 135 lbs",La Lumbre,,,,,
